rn	type	text
193101	I	<par>Either of the last two syllables could be assigned to etymon 288 <reconstruction>*b-raŋ</reconstruction> CHEST (cf. Qiang (Mawo) <latinform>ɹu qʰuaʴ</latinform> ‘chest’ ; Qiang (Taoping) <latinform>ʐu⁵⁵dzɿ³³qə³³</latinform> ‘chest’ ). The final syllable could also be assigned to 299 *t(s)u CHEST, if we allow an allofam with nasal final *t(s)u-N; it could also be assigned to 1276 <reconstruction>*kruːŋ CAGE/CHEST</reconstruction>, cf. Tujia <latinform>li⁵⁵kho⁵⁵tshoŋ⁵⁵</latinform>, <latinform>li⁵⁵ kʰo⁵⁵ tsʰũ⁵⁵</latinform> ‘chest’ .</par>
193107	I	<par>First syllable is probably &lt; Mand. Chinese <latinform>xiōng</latinform> ‘chest’ .</par>
193152	I	<par>The first syllable <latinform>ʁua⁵⁵</latinform> may be descended from etymon 213 *r-gyap, but note that <latinform>dʑo³³lɑ³⁵</latinform> &apos;back&apos; (182646) has the first syllable tagged 213. Cf. also 130978, which is the same Shixing form.</par>
193198	T	"<par>This form is rather arbitrarily assigned to this set, rather than to <xref ref=""3586"">#3586</xref>.</par>"
193314	I	<par>This is perhaps just a straight borrowing from Chinese <latinform>yèmdash aogǎn</latinform> &apos;waist, trunk, torso&apos;.</par>
193329	I	<par>It is not clear which of the two syllables descends from the present root, or whether some type of reduplication is involved.</par>
193899	I	<par>Loan from Chinese, cf. Chinese gān 肝 &apos;liver&apos;.</par>
193900	I	<par>Loan from Chinese, cf. Chinese gān 肝 &apos;liver&apos;.</par>
193925	I	<par>Loan from Chinese, cf. Chinese gān 肝 &apos;liver&apos;.</par>
194311	T	"<par>Maru final <latinform>-k</latinform> is secondary; <latinform>-uk</latinform> is the regular Maru reflex of <reconstruction>*-əw</reconstruction>, as first noted in the original version of STC (p. 60 in the published version, 1972) and for the first time in print by Burling 1966 (<emph>Language</emph> 42.3). Thus this form is not to be referred to the stop-finalled allofam <xref ref=""259"">#259</xref>. Burling&apos;s correct observation about the secondariness of the velar stop in the Maru rhyme <latinform>-uk</latinform> (which is paralleled by the secondary <latinform>-t</latinform> in Maru <latinform>-it</latinform> &lt; PTB <reconstruction>*-əy</reconstruction>), was attacked by Roy Andrew Miller &quot;Once again, the Maru final stops&quot; (1968 paper presented at ICSTLL #1, Yale University). This attack was in turn refuted in STC, in the new note 193 (added in 1972).</par>"
195522	I	<par>Loan from Chinese, cf. Chinese mùjiàng 木匠 ‘carpenter’.</par>
195525	I	<par>Loan from Chinese, cf. Chinese mùjiàng 木匠 ‘carpenter’.</par>
195526	I	<par>Loan from Chinese, cf. Chinese mùjiàng 木匠 ‘carpenter’.</par>
195531	I	<par>Loan from Chinese, cf. Chinese mùjiàng 木匠 ‘carpenter’.</par>
195532	I	<par>Loan from Chinese, cf. Chinese mùjiàng 木匠 &apos;carpenter&apos;.</par>
195534	I	<par>Loan from Chinese, cf. Chinese mùjiàng 木匠 ‘carpenter’.</par>
195535	I	<par>Loan from Chinese, cf. Chinese mùjiàng 木匠 ‘carpenter’.</par>
195551	I	<par>Loan from Chinese, cf. Chinese mùjiàng 木匠 ‘carpenter’.</par>
195554	I	<par>Loan from Chinese, cf. Chinese mùjiàng 木匠 ‘carpenter’.</par>
195555	I	<par>Loan from Chinese, cf. Chinese mùjiàng 木匠 ‘carpenter’.</par>
195557	I	<par>Loan from Chinese, cf. Chinese mùjiàng 木匠 ‘carpenter’.</par>
195558	I	<par>Loan from Chinese, cf. Chinese mùjiàng 木匠 ‘carpenter’.</par>
195723	I	<par>Loan from Chinese, cf. Chinese 工人 gōngrén &apos;worker&apos;.</par>
195724	I	<par>Loan from Chinese, cf. Chinese 工人 gōngrén &apos;worker&apos;.</par>
195726	I	<par>Loan from Chinese, cf. Chinese 工人 gōngrén &apos;worker&apos;.</par>
