word	rn	semcat	subcat	semkey
AND WHITE	2	G	8/1.2.1	10.1.2.1
ANEMIA	2	Nbp	1a/6.2	1.6.2
ANEW	2	G	8/2.1	10.2.1
ANGER	24	Vpsi	/	8.3.1.6.1
ANGLE	33	Nbp	1a/5.11	1.5.8
ANGRILY	0	Vpsi	5d/1.6.1	8.3.1.6.1
ANGRY	317	Vpsi	5d/1.6.1	8.3.1.6.1
ANGULAR	4	Vshiz	6f/	9.7.2
ANIL	2	Nveg	2b.1/4.1	3.1.7
ANIMAL	1315	Nanim	2a.1/18	2.3
ANIMALS	332	Nanim	2a.1/18	2.3
ANIMATE	12	G	8/4.1.2	10.4.1.2
ANIMATED	2	G	8/4.1.2	10.4.1.2
ANIMISTIC	24	Nrel	9d/2.3	5.8.2.3
ANIMLS	2	Error	x/	x.x
ANKLE	345	Nbp	1a/5.11.2	1.5.8.2
ANKLEBONE	8	Nbp	1a/5.11.2	1.5.8.2
ANKLES	6	Nbp	1a/5.11.2	1.5.8.2
ANKLET	12	Npers	3c/3	5.11.8.3
ANNA	2	N$	9d/	5.9
ANNIHILATED	2	Vharm	4b.1/	6.4
ANNIHILATION	2	Vharm	4b.1/	6.4
ANNOUNCE	2	Vutt	5f/14.2	8.5.14.2
ANNOY	2	Vpsi	5d/1.6.1	8.3.1.6.1
ANNOYANCE	2	Vpsi	5d/1.6.1	8.3.1.6.1
ANNOYED	8	Vpsi	5d/1.6.1	8.3.1.6.1
ANNOYING	2	Vpsi	5d/1.6.1	8.3.1.6.1
ANNUAL	4	Ntime	6i/1	9.1.2
ANOINT	8	Vact	4a/	6.2
ANOTHER	92	Num	6h/	9.9
ANSWER	242	Vutt	5f/6	8.5.6
ANT	592	Nanim	2a.1/14	2.2.6
ANT-EATER	0	Nanim	2a.1/15	2.2.7
ANTELOPE	100	Nanim	2a.1/8	2.2.2
ANTENNA	15	Nbp	1a/2.2	1.2.2
ANTHRAX	2	Nmed	9a/1	5.3
ANTICIPATE	12	Vpsi	5d/1.7.3	8.3.1.7.3
ANTLER	76	Nbp	1a/2.2	1.2.2
ANTLERS	2	Nbp	1a/2.2	1.2.2
ANTS	10	Nanim	2a.1/14	2.2.6
ANUS	264	Nbp	1a/4.10.2	1.4.10.2
ANVIL	16	Ntool	9a/	5.11.5.4
ANXIETY	6	Vpsi	5d/1.7.2	8.3.1.7.2
ANXIOUS	20	Vpsi	5d/1.7.2	8.3.1.7.2
ANY	76	Nabst	5a/	8.1
ANYONE	2	Nabst	5a/	8.1
ANYTHING	60	Nabst	5a/	8.1
ANYWHERE	6	Nabst	5a/	8.1
APART	36	Spat	6j/4	9.2.4
APARTME	0	Ndwel	9c/4	5.11.9.4
APARTMENT	2	Ndwel	9c/1	5.11.9.1
APATANI	2	Nhum	3a/1	4.6
APATHETIC	2	Vpsi	5d/1.11.10	8.3.1.11.2
APE	8	Nanim	2a.1/10	2.1.9
APERTURE	11	Nnat	2c.1/8	3.2.7
APEX	2	Spat	6j/1	9.2.1
APOLOGIZE	8	Vutt	5f/11	8.5.11.3
APOSTLE	2	Nrel	9d/2.3	5.8.2.3
APP	8	Error	x/	x.x
APPEAR	80	Vcos	6c/	9.5
APPEARANCE	32	Vcos	6c/	9.5
APPEARI	2	Error	x/	x.x
APPEASE	12	Vpsi	5d/2.2.1	8.3.2.2.1
APPELLATION	2	Ncult	9d/	5.8
APPENDAGE	9	Nbp	1a/5.3.1	1.5.3.1
APPENDIX	25	Nbp	1a/7.7	1.7.7.1
APPERTAIN	2	Vabst	5b/	8.2
APPETITE	13	Nbp	1a/1.3	1.1.3
APPLE	114	Nveg	2b.1/3.2	3.1.5
APPLIED	4	Vput	4e.3/	6.17
APPLY	16	Vput	4e.3/	6.17
APPOINT	26	Vact	4a/2.1	6.2.2.1
APPOINTMENT	2	Vact	4a/2.1	6.2.2.1
APPORTION	4	Vact	4a/	6.2
APPREARANCE	2	Vcos	6c/	9.5
APPRENTICE	6	Nhum	3a/3.1	4.2.1
APPRENTICES	2	Nhum	3a/3.1	4.2.1
APPROACH	42	Vmot	4b.4/1	6.7.1
APPROPRIATE	10	Vacq	4f.3/	6.21
APPROVE	18	Vpsi	5d/1.1.1	8.3.1.1.1
APPROXIMATELY	4	Vadj	5c/2.2	9.1.1
APRIL	106	Ntime	6i/1	9.1.2
APRON	2	Npers	3c/2.2	5.11.8.2.2
APTITUDE	2	Vpsi	/	1.5.3.2
AQUARIUS	2	Nnat	2c.1/3	3.2.2
AQUATIC	4	Nnat	2c.1/4	3.2.3
AQUEDUCT	6	Nloc	6k/2	9.10.2
ARCH	65	Nbp	1a/5.2.3	1.5.2.3
ARCHED	6	Nbp	1a/5.2.3	1.5.2.3
ARCHIN	2	Nbp	1a/5.2.3	1.5.2.3
ARDUOU	0	Vadj	5c/2.2	
ARDUOUS	2	Vadj	5c/2.2	9.6.2
ARE	4	G	8/	10.0
AREA	88	Spat	6j/7	9.2.7
ARECA	12	Nveg	2b.1/1.1	3.1.1
ARGELI	2	Error	x/	x.x
ARGOT	2	Ncult	9d/	5.8
ARGUE	8	Vutt	5f/2.1	8.5.2.1
ARGUMENT	14	Vutt	5f/2.1	8.5.2.1
ARICULTURE	4	Error	x/	x.x
ARISAEMA	4	Error	x/	x.x
ARISE	46	Vbp	1b/1.4	1.1.4
ARISTOCRAT	4	Nhum	3a/5	4.2.5
ARITHMETICAL	2	Num	6h/	9.9
ARK	2	Nconv	9a/	5.11.2
ARM	820	Nbp	1a/5.8	1.5.1.2
ARMFUL	4	Nbp	1a/5.8	1.5.1.2
ARMLET	40	Nbp	1a/5.8	1.5.1.2
ARMOR	2	Nwar	9e/	5.15
ARMOUR	10	Nwar	9e/	5.15
ARMPIT	483	Nbp	1a/5.8.3	1.5.1.2.3
ARMPITS	2	Nbp	1a/5.8	1.5.1.2.3
ARMS	230	Nbp	1a/5.8	1.5.1.2
ARMS AND LEGS	1	Nbp	1a/5.3	1.5.3
ARMSPREAD	2	Nbp	1a/5.8	1.5.1.2
ARMY	124	Nwar	9e/	5.15
ARM	4	Nbp	1a/5.8	1.5.1.2
ARNOTTO	2	Error	x/	x.x
AROMATIC	4	Vadj	5c/4.5	7.1.4.5
AROND	2	Error	x/	x.x
AROUND	310	Spat	6j/5	9.2.6
AROUSE	13	Nbp	1a/1.4	1.1.4
AROUSED	2	Nbp	1a/1.4	1.1.4
ARRANGE	4	Vput	4e.3/	6.17
ARRANGED	44	Vput	4e.3/	6.17
ARRANGEMENT	4	Vput	4e.3/	6.17
ARREST	22	Vsoc	4f.1/	6.19
ARRIVAL	2	Vmot	4b.4/1	6.7.1
ARRIVE	320	Vmot	4b.4/1	6.7.1
ARRIVE`	2	Error	x/	x.x
ARRIVING	2	Vmot	4b.4/1	6.7.1
ARROGANT	6	Vadj	5c/3.1	9.6.2.2
ARROW	441	Nwar	9e/	5.15
ARROWHEAD	8	Nwar	9e/	5.15
ARROWS	14	Nwar	9e/	5.15
ARSENIC	4	Nnat	2c.1/5	3.2.4
ARTERI	1	Error	/	x.x
ARTERIES	2	Nbp	1a/6.2.1	1.6.2.1
ARTERY	70	Nbp	1a/6.2.1	1.6.2.1
ARTICLE	18	G	8/2	10.2
ARTICLES	4	G	8/2	10.2
ARTIFICE	2	Vpsi	5d/3.4.4.2	8.3.3.4.3.2
ARTIFICIALLY	8	Vadj	5c/8.3	
ARTLES	0	Error	x/	x.x
ARTLESS	2	Vadj	5c/8.2	
ARUM	44	Nveg	2b.1/4.2	3.1.8
AS	662	G	8/	10.0
ASAFOETIDA	4	Nveg	2b.1/3.3	3.1.6
ASCEND	239	Vmot	4b.4/7	6.7.7
ASCENDING	2	Vmot	4b.4/7	6.7.7
ASCENDINGLY	10	Vmot	4b.4/7	6.7.7
ASCENT	6	Vmot	4b.4/7	6.7.7
ASH	104	Nfire	2c.3/3.3	3.2.12.2
ASH-COLOR	0	Col	6b/	9.4
ASHAMED	85	Vpsi	5d/3.8.3	8.3.3.8.2
ASHAMEDNES	0	Vpsi	5d/3.8.3	8.3.3.8.2
ASHAMEDNESS	2	Vpsi	5d/3.8.3	8.3.3.8.2
ASHE	0	Error	/	x.x
ASHES	317	Nfire	2c.3/3.3	3.2.12.2
ASIDE	28	Spat	6j/8	9.2.8
ASINA	2	Error	x/	x.x
ASK	344	Vutt	5f/7.1	8.5.7.1
ASKEW	4	Vadj	5c/5.4	7.1.5.4
ASKS	2	Vutt	5f/7.1	8.5.7.1
ASLEEP	181	Nbp	1a/1.4.1	1.1.4.1
ASPARAGUS	2	Nveg	2b.1/3.2	3.1.5
ASPECT	34	G	8/	10.0
ASPECTIVIZ	16	Error	x/	x.x
ASPECTIVIZER	14	G	8/	10.0
ASSAMEN	24	Error	x/	x.x
ASSAULT	6	Vharm	4b.1/	6.4
ASSEMBLE	88	Vsoc	4f.1/	6.19
ASSEMBLY	16	Nsoc	9d/	5.13
ASSERT	6	Vutt	5f/3	8.5.3
ASSERTIVE	4	Vadj	5c/3.1	10.0
ASSIGNMENT	2	Nsoc	9d/	5.8
ASSIST	8	Vhelp	4f.2/	6.20
ASSISTANCE	4	Vhelp	4f.2/	6.20
ASSISTANT	6	Vhelp	4f.2/	6.20
ASSOCIATE	17	Vsoc	4f.1/	6.19
ASSOCIATED	2	Vsoc	4f.1/	6.19
ASSOCIATIVE	2	Vsoc	4f.1/	6.19
ASSUME	2	Vpsi	5d/	8.3
ASSURE	4	Vutt	5f/10.3	8.5.10.3
ASTHMA	17	Nbp	1a/1.2.2	1.1.2.2
ASTONISH	14	Vpsi	5d/1.9.1	8.3.1.9.1
ASTRAY	38	Vmot	4b.4/2	6.7.2
ASTRINGENT	16	Vadj	5c/4.4	7.1.4.4
ASTRON	2	Nnat	2c.1/3	3.2.2
ASTRONOMICAL	2	Nnat	2c.1/3	3.2.2
AT	812	G	8/	10.0
ATHLETE	2	Nhum	3a/8	4.2.9
ATLA	0	Error	x/	x.x
ATLAS	2	Nwrit	9a/	5.1
ATRIUM	2	Ndwel	9c/3	5.11.9.3
ATTACH	30	Vjoin	4d.2/1.3	6.13.3
ATTACHED	8	Vjoin	4d.2/1.3	6.13.3
