hptbid	plg	protoform	gloss	pages	mainpage	init	allofams	semclass	semclass2	tags	etyma_links
142	PLB	*m-dakᴸ	mutually / reciprocal action	318, 320		*d	*dak	kinship		?	
143	PTB	*r-dal	spread / extend / develop	424		*d	*dal	place		?	
144	PTB	*dan	cut	258, 259		*d	*dan	tool		3563	3563
145	PTB	*m-dan	crossbow	301, 310		*d	*dan	tool		?	
146	PTB	*dan ⪤ *day	single / one / whole / only	262, 516		*d	*dan ⪤ *day	number		2698	2698
147	PLB	*daŋ²	speech / language	19		*d	*daŋ	kinship		?	
148	PLB	*m-daŋ¹/²	think / feel an emotion	266		*d	*daŋ	bodypart		?	
149	PTB	*m-daŋ ⪤ *m-doŋ	peacock / partridge / pheasant	129, 294		*d	*daŋ ⪤ *doŋ	animal		2200	2200
150	PLB	*m-daŋ¹ ⪤ *m-doŋ¹	drink	123		*d	*daŋ ⪤ *doŋ	water		502?	502
151	PTB	*daŋ ⪤ *taŋ	tense / tight	267		*d	*daŋ ⪤ *taŋ	bodypart		?	
152	PTB	*s-dar	bind / fasten / tether	401		*d	*dar	tool	clothe	?	
153	PLB	*datᴸ	alive	330		*d	*dat	bodypart		72	72
154	PTB	*daw	risk / defy / hostile	225		*d	*daw	kinship		2193	2193
155	PTB	*daw or *dow	bird	226, 227	226-7	*d	*daw or *dow	animal		1604	1604
156	PTB	*day	do / make	208		*d	*day	tool		?	
157	PTB	*day	shallow	209		*d	*day	place		?	
158	PTB	*day	this / that	207		*d	*day	kinship		2195	2195
159	PLB	*m-day³	zone / expanse of territory	211		*d	*day	place		1373	1373
160	PTB	*daːy	dew	210		*d	*daːy	water		?	6170
162	PTB	*daːy ⪤ *taːy	pound / crush	210		*d	*daːy ⪤ *taːy	tool		?	
163	PTB	*r/g-dek	kick	372		*d	*dek	bodypart		?	
164	PLB	*tekᴴ	kick	315		*d	*dek	bodypart			
165	PLB	*m-dey¹	lump / hunk / slab	206		*d	*dey	natural		?	
166	PLB	*di¹	worm	188		*d	*di	animal		?	
167	PLB	*ʔ-dikᴸ	one / only	346		*d	*dik	number			
168	PTB	*s-diːk	scorpion / crab / shrimp	345, 496, 503, 527		*d	*diːk	animal		2197	2197
169	PTB	*dim	shallow	271		*d	*dim	place		?	
170	PTB	*diŋ	top / summit	307		*d	*diŋ	place		1342	1342
