chapter	heading	semcat	subcat	cf	n
3a	Groups	Nhum	12		14
3a	Clans and neighbors	Nhum	12.2		21
3a	Outsiders	Nhum	12.3		9
3a	Friends and Acquaintances	Nhum	12.4		0
3a	Other Collective terms	Nhum	13		11
9e	Husbandry	Nhusb		*	37
3b	Previous generation	Nkin	1		33
3b	Same generation	Nkin	2		14
3b	Later generation	Nkin	3		28
3b	Related by marriage	Nkin	4		22
3b	General	Nkin	5		15
9d	Leisure	Nleis		*	32
6k	Roads and Ways	Nloc	1		20
6k	Waterways/Having to do with water	Nloc	2		16
6k	Governable units (towns, parts of towns)	Nloc	3		22
6k	Farm/Agricultural places	Nloc	4		12
6k	Places in general, countries	Nloc	4.0		43
6k	Functional buildings/places	Nloc	5		22
9a	Diseases	Nmed	1		30
9a	Instruments and therapies	Nmed	2		17
9a	Musical objects	Nmus		*	48
2c.1	Weather and seasons	Nnat	1		45
2c.1	Planets/Meteorological objects/Sky	Nnat	3		29
2c.1	Water and other liquids	Nnat	4		61
2c.1	Elements, metals, alloys	Nnat	5		41
2c.1	Landforms and geographical features	Nnat	6		69
2c.1	Natural disasters	Nnat	7		7
2c.1	Cracks/Chasms/Crevices	Nnat	8		28
2c.1	Organic matter/Organic compounds	Nnat	9		7
2c.1	Rocks and minerals	Nnat	10		28
2c.1	Light or lack of light	Nnat	11		19
2c.1	Ground/Earth/Soil/Dirt	Nnat	12		37
9d	Ornaments	Norn		*	17
3c	Footwear	Npers	1		15
3c	Clothes (general)	Npers	2.1		12
3c	Head	Npers	2.1.1		17
3c	Upper body	Npers	2.1.2		8
3c	Lower body	Npers	2.1.3		17
3c	Special clothes and equipment	Npers	2.2		18
3c	Parts of clothing	Npers	2.3		10
3c	Jewelry and Accessories	Npers	3		31
3c	Toiletries	Npers	4		7
9d	Religion	Nrel		*	68
9d	Deities/Spiritual Beings	Nrel	1.1		7
9d	Spiritual Beings	Nrel	1.2		6
9d	General/Other Religious	Nrel	1.3		2
9d	Occupations	Nrel	2.1		5
9d	Group appellation	Nrel	2.2		2
9d	Religious persons/things	Nrel	2.3		0
9d	Religious Events	Nrel	3.1		8
9d	Magical	Nrel	3.2		6
9d	Heaven/Hell	Nrel	4	x	4
9a	Rope	Nrope		*	26
6e	Shape and size	Nshiz		*	62
9d	Social interactions	Nsoc		*	47
6i	Adverbial uses	Ntime			28
6i	Months and Years	Ntime	1		21
6i	Days	Ntime	2		25
6i	Hours	Ntime	3		25
6i	Other Intervals	Ntime	4		34
6i	Years	Ntime	5		0
9a	Tools	Ntool		*	40
9a	Agricultural use	Ntool	1		16
9a	Home/Non-specialized use	Ntool	2		15
9a	Cutting/Boring	Ntool	3		13
9a	Workshop use/Equipment	Ntool	4		8
9a	Equipment	Ntool	6	x	8
9a	Textile	Ntxtl		*	58
6h	Numbers and numeric expression	Num		*	135
2b.1	Names of trees and shrubs	Nveg	1.1		50
2b.1	Plant parts and types	Nveg	1.2		70
2b.1	Seeds and flowers, nuts	Nveg	3.1		76
2b.1	Fruits and vegetables	Nveg	3.2		66
2b.1	Leafy vegetables	Nveg	3.2.1		20
2b.1	Extracts and processed forms	Nveg	3.3		15
2b.1	Spices	Nveg	3.3.1		21
2b.1	Other ground and milled food	Nveg	3.3.2		19
2b.1	Juices, beers, etc.	Nveg	3.3.3		19
2b.1	Building, Non-edible	Nveg	3.3.4		15
2b.1	Leaves	Nveg	3.4		8
2b.1	Fungi	Nveg	4.1		22
2b.1	Other wild plants	Nveg	4.2		17
2b.1	Vegetative/Agricultural activity	Nveg	5		3
9e	War and violence	Nwar		*	43
9a	Waste products	Nwast		*	18
9a	Writing Implements	Nwrit			32
6a	Sounds	Sound		*	51
6j	Spatial terms	Spat		*	19
6j	Up	Spat	1		19
6j	Down	Spat	2		12
6j	Sideways	Spat	3		10
6j	Apart	Spat	4		8
6j	Amid	Spat	5		10
6j	Around	Spat	6		2
6j	Extent	Spat	7		31
6j	Directions	Spat	8		39
5b	Abstract verbs	Vabst		*	43
5b	Be	Vabst	1.2.3	x	15
4f.3	Acquisitions	Vacq		*	38
4a	with Patient	Vact			127
4a	Affect	Vact	1	x	33
4a	To do/act	Vact	1.1		8
4a	Redo, repeat	Vact	1.1.2		6
4a	Play	Vact	1.3		6
4a	Lie	Vact	1.4		0
4a	Sit	Vact	1.4.1		4
4a	Sprawl	Vact	1.4.2.1		3
4a	Fall	Vact	1.4.4		2
4a	Hang	Vact	1.5		6
4a	Wait	Vact	1.6		4
4a	Assorted action verbs	Vact	2.1	x	161
4a	Move an object	Vact	2.2		62
4a	Carry	Vact	2.2.1		6
4a	Bring	Vact	2.2.3		3
4a	Push	Vact	2.3.1		9
4a	Pull	Vact	2.3.2		2
4a	Kick	Vact	2.3.4		2
4a	Clear	Vact	2.5.1		4
4a	Wash (v.i./v.t.)	Vact	2.5.2		4
4a	Sweep	Vact	2.5.3		3
4a	Open	Vact	2.6.1		3
4a	Close	Vact	2.6.2		0
4a	Use	Vact	2.7.1		8
4a	Practice	Vact	2.7.2		2
4a	Show	Vact	2.8		6
4a	Write	Vact	2.9.1		4
4a	Draw	Vact	2.9.2		2
4a	Read	Vact	2.9.3		2
5c	Adjectives  and attributives	Vadj		*	127
5c	Emotive	Vadj	1		20
5c	Quantity - general	Vadj	2.1		52
5c	Degree	Vadj	2.2		32
5c	Temperature	Vadj	2.4	Vbp!	7
5c	General  - other than appearance	Vadj	3.1		159
5c	Appearance	Vadj	3.2		15
5c	Sight	Vadj	4.1		4
5c	Feel/Tactile/Texture	Vadj	4.2		33
5c	Hear	Vadj	4.3		7
5c	Taste	Vadj	4.4		20
5c	Smell	Vadj	4.5		16
5c	General - form	Vadj	5.1		125
5c	Texture	Vadj	5.2		0
5c	Position - high/low	Vadj	5.3		11
5c	Position - front/back/side-side	Vadj	5.4		7
5c	Single/part/few	Vadj	6.1		8
5c	Accompanied/whole/many	Vadj	6.2		9
5c	Unique/important/special	Vadj	7.1		23
5c	Mundane/unimportant/same/routine	Vadj	7.2		8
5c	Positive term	Vadj	8.1		39
5c	Negative term	Vadj	8.2		50
5c	Neutral term	Vadj	8.3		79
5c	Abruptly	Vadj	10	x	69
5c	Light	Vadj	11.1		22
5c	Dark	Vadj	11.2		2
2a.2	Animate verbs	Vanim		*	1
2a.2	Caponize	Vanim	11.1		2
2a.2	Sting	Vanim	14		5
2a.2	Animal Qualities	Vanim	18		8
1b	Body part verbs	Vbp		*	8
1b	Bodied	Vbp	1.1	x	7
1b	Bear a child	Vbp	1.2	x	8
1b	Alive	Vbp	1.2.1	x	7
1b	Breathe	Vbp	1.2.2	x	10
1b	Be able	Vbp	1.2.3	x	2
1b	Be hungry	Vbp	1.3	x	2
1b	Be thirsty	Vbp	1.3.1	x	2
1b	Enough	Vbp	1.3.2	x	5
1b	Alert	Vbp	1.4	x	11
1b	Be asleep	Vbp	1.4.1	x	12
1b	Get	Vbp	1.5	x	4
1b	Ache	Vbp	1.5.1	x	28
1b	Bloated	Vbp	1.5.2	x	6
1b	Deathly	Vbp	1.6	x	6
1b	Headed	Vbp	2.1	x	4
1b	Horned	Vbp	2.2	x	2
1b	Long-haired	Vbp	2.3	x	2
1b	Bald	Vbp	2.3.3	x	4
1b	Bearded	Vbp	2.5	x	6
1b	Eyed	Vbp	2.6	x	3
1b	Squint	Vbp	2.6.10	x	2
1b	Cross-eyed	Vbp	2.6.11	x	3
1b	Blind	Vbp	2.6.11.1	x	4
1b	Dilate	Vbp	2.6.2	x	2
1b	Watch	Vbp	2.6.7	x	5
1b	Behold	Vbp	2.6.9	x	19
1b	Audible	Vbp	2.7.4	x	8
1b	Smell	Vbp	2.8.5	x	5
1b	Gape	Vbp	3.1	x	4
1b	Blow	Vbp	3.1.4	x	6
1b	Sucker	Vbp	3.2.1	x	2
1b	Lick	Vbp	3.3.1	x	2
1b	Bite	Vbp	3.4.4	x	10
1b	Chew	Vbp	3.4.5	x	8
1b	Choke	Vbp	3.5.6	x	10
1b	Devour	Vbp	3.5.7	x	19
1b	Drinkable	Vbp	3.5.8	x	5
1b	Short-tailed	Vbp	4.10.1	x	2
1b	Neck-shaped	Vbp	4.2	x	2
1b	Carry on shoulder	Vbp	4.3	x	2
1b	Folded	Vbp	4.4.1	x	2
1b	Spinal	Vbp	4.8	x	2
1b	Crouch	Vbp	4.8.3	x	5
1b	Four-handed	Vbp	5.1	x	2
1b	Knee-deep	Vbp	5.11.4	x	3
1b	Paralysed	Vbp	5.18	x	3
1b	Lame	Vbp	5.19	x	6
1b	Footed	Vbp	5.2	x	3
1b	Bandy-legged	Vbp	5.3	x	4
1b	Bristle	Vbp	6.1	x	3
1b	Bleed	Vbp	6.2	x	4
1b	Chubby	Vbp	6.4	x	7
1b	Molt	Vbp	6.5	x	3
1b	Blistered	Vbp	6.5.3	x	8
1b	Itching	Vbp	6.5.4	x	2
1b	Cramped	Vbp	6.6.2	x	5
1b	Digest	Vbp	7.6	x	3
1b	Constipated	Vbp	7.7	x	2
1b	Perspire	Vbp	8.2	x	2
1b	Cough	Vbp	8.4	x	5
1b	Belch	Vbp	8.4.4	x	2
1b	Defecate	Vbp	8.6	x	4
1b	Flatulate	Vbp	8.6.2	x	2
1b	Discharge	Vbp	8.7	x	3
1b	Chuckle	Vbp	8.9	x	9
1b	Cry	Vbp	8.9.1	x	11
1b	Bark	Vbp	8.9.4	x	4
1b	Reproduce	Vbp	9.0	x	2
1b	Bred	Vbp	9.1.1	x	7
1b	Circumcise	Vbp	9.2.1.1	x	3
1b	Sterile	Vbp	9.2.2	x	2
1b	Castrate	Vbp	9.2.2.4	x	4
1b	Brood on egg	Vbp	9.3.3	x	4
1b	Menstrual	Vbp	9.3.4	x	4
1b	Barren	Vbp	9.3.4.1	x	2
2c.2	Burn, illuminate	Vburn		*	27
6c	Change of state	Vcos		*	141
4c.4	Carve, shave	Vcut	1		31
4c.4	Chop, slice	Vcut	2		24
4c.4	Mince, shred	Vcut	3		10
4c.8	Digging, excavation	Vdig		*	18
4f.4	Exchanges	Vexch		*	50
5e	Feeling	Vfeel		*	36
4b.2	Fighting	Vfigh			39
9b	Culinary verbs	Vfood		*	32
4f.5	Giving	Vgive		*	16
4b.1	Harm	Vharm		*	56
4e.4	Possession	Vhave		*	6
4f.2	Helping	Vhelp		*	6
4c.1	Striking, hitting verbs	Vhit		*	29
4e.2	Holding	Vhold		*	21
4d.2	Tying	Vjoin	1.1		16
4d.2	Adhesion	Vjoin	1.2		11
4d.2	With Tools	Vjoin	1.3		17
4d.2	Mix	Vjoin	3		13
4d.2	Join (general)	Vjoin	5		13
4b.3	Verbs requiring liquids	Vliq		*	102
4b.3	Float	Vliq	5	x	13
4b.3	Dissolve	Vliq	9	x	3
4d.3	Construction	Vmake		*	30
4d.4	Repair	Vmend		*	6
4b.4	Inward	Vmot	1		14
4b.4	Outward	Vmot	2		27
4b.4	Awkwardly, Irregularly	Vmot	3		28
4b.4	Regular, Cyclic, Smoothly	Vmot	4		43
4b.4	Medium Primary (e.g. air)	Vmot	5		13
4b.4	Circularly	Vmot	6		25
4b.4	Up, etc.	Vmot	7		13
4b.4	Downward	Vmot	8		12
4b.4	Manner is primary	Vmot	9		31
4b.4	Move with something else	Vmot	10		36
4b.4	Movement (general)	Vmot	11		15
9d	Ornamentation	Vorn		*	25
5d	Psychological verbs	Vpsi		*	100
5d	Like	Vpsi	1.1.1		30
5d	Dislike	Vpsi	1.1.2		12
5d	Satisfied	Vpsi	1.1.3		3
5d	Fear	Vpsi	1.10.2		11
5d	Positive	Vpsi	1.10.4.1		8
5d	Hesitate	Vpsi	1.10.5		3
5d	Alert	Vpsi	1.11.1		9
5d	Tired	Vpsi	1.11.10		5
5d	Thrilled, Dizzy	Vpsi	1.11.11		26
5d	Know, Believe	Vpsi	1.12.1		15
5d	Think/plan	Vpsi	1.13		3
5d	Think	Vpsi	1.13.1		24
5d	Plan	Vpsi	1.13.2		10
5d	Imagination	Vpsi	1.13.8	x	2
5d	Longing	Vpsi	1.14.1	x	3
5d	Avarice	Vpsi	1.14.2	x	7
5d	Desirable	Vpsi	1.14.3	x	8
5d	Awe	Vpsi	1.15	x	19
5d	Forget	Vpsi	1.16.1	x	10
5d	Accept	Vpsi	1.2.1		3
5d	Blame	Vpsi	1.3.2		3
5d	Agree	Vpsi	1.4.1		5
5d	Happy	Vpsi	1.5.1		14
5d	Sad	Vpsi	1.5.2		13
5d	Grief	Vpsi	1.5.2.2		2
5d	Emotional	Vpsi	1.5.3		3
5d	Enthusiastic	Vpsi	1.5.4		3
5d	Excited	Vpsi	1.5.6		8
5d	Frustrated	Vpsi	1.5.7		2
5d	Angry	Vpsi	1.6.1		11
5d	Distress	Vpsi	1.6.2		4
5d	Positive	Vpsi	1.7.1		2
5d	Negative (e.g. dread)	Vpsi	1.7.2		4
5d	Neutral or ambiguous	Vpsi	1.7.3		5
5d	Relieved	Vpsi	1.7.5		2
5d	Willing	Vpsi	1.8.3		4
5d	Surprised	Vpsi	1.9.1		8
5d	Worry	Vpsi	1.9.2		3
5d	Friendly	Vpsi	2.1.1		4
5d	appease	Vpsi	2.2.1		2
5d	Comfort	Vpsi	2.3.1		11
5d	Pity	Vpsi	2.3.2		9
5d	Encourage	Vpsi	2.3.3		2
5d	Defer	Vpsi	2.5.1		3
