tag	grpid	form	gloss	variant	old_tag	source
632	12	swaᴮ	TOOTH			
632	45	swa²	TOOTH			
632	42	swa²	TOOTH			
634	70	hŋaw	FANG / CANINE TOOTH		4912	"PKC #912 (""PCC"")"
635	45	ʔ-cway¹	TUSK			
635	42	jway¹	TOOTH / TUSK			
641	50	teᴮ	PENIS			
641	50	théʔ	PENIS			
641	50	théq	PENIS			
643	8	ʔip	BAG / SACK		4465	PKC #465
645	5	tɯk	FROG		6633	JS-HCST: 222
645	50	Ɂdeᴮ	FROG		7330	TL#126
645	50	Ɂdeᴮsowᴮ	TOAD		7510	TL#305
647	63	ʃiŋ	GINGER		7760	PCN #213
647	8	thiiŋ	GINGER		4388	PKC #388
647	12	ɟiːŋ	GINGER		6156	WTF-PNN: 494; French's 'j' is the voiced palatal stop.
647	50	Ɂeŋᴬ	GINGER		7334	TL#130
650	12	C̥-cʰi	URINE			
650	42	N-ts(y)i² ⪤ z(y)əy²	URINE			
650	50	chejᴮ	URINE		7519	TL#314
650	5	si	URINE		6596	JS-HCST: 151
660	42	ʔ-na¹	GOOD / PERMISSIBLE			
661	8	tshuu	VULVA / VAGINA		4609	PKC #609
661	5	tɯ	VULVA / VAGINA		6632	JS-HCST: 168
661	29	tu	VAGINA			
664	66	haj	VAGINA		6798	DRM#385
665	8	kua	HOLE / BURROW / CAVITY	a	4289	PKC #289
665	8	khur ⪤ khor	DITCH / HOLE / PIT / WELL (n.)	b	4438	PKC #438
665	66	kʰur	HOLE / ANUS		6927	DRM#522
665	63	a-ku ⪤ a-khən	HOLE		7626	PCN #079
665	12	gor	HOLE / CAVE			
665	8	kuar	HOLLOW / SUNKEN		4290	PKC #290
666	63	a-ʒa(ʔ)	GRASS		7563	PCN #016
673	66	bɐm	UTERUS / WOMB		7093	DRM#710
678	8	kh(l)aay	HANG DOWN / WEIGH		5289	PKC #1289
680	8	hlam	PLACENTA / AFTERBIRTH		5116	PKC #1116
680	66	laam	PLACENTA		7148	DRM#770
681	63	mjak ⪤ hmik	EYE			
681	42	s-myak	EYE			
682	8	mik	EYE		4765	PKC #765
682	5	mik	EYE		6456	JS-HCST: 215
682	66	mik	EYE		6962	DRM#559
682	63	mjak ⪤ hmik	EYE		7781	PCN #234
682	8	mik-kuu-I, -kuk-II	SLEEPY		4310	PKC #310
682	66	mit	EYE		7163	DRM#
682	23	ᴮʰmiː(ŋ)	EYE			
685	8	muu	SEED		4786	PKC #786
690	8	hluum	ROUND		5118	PKC #1118
690	5	lum	ROUND (GLOBULAR)		6434	JS-HCST: 173
691	42	ʔ-gla²	BETWEEN / HAVE A SPACE BETWEEN / INTERVAL			
692	8	kham ⪤ khum	PILLOW		4455	PKC #455
692	42	m-kum²	BLOCK / PILLOW		378	HPTB pp.124, 249
692	63	m-kham	BENCH, BLOCK / PILLOW		7679	PCN #132
692	8	khu(m/n)	BED / COUCH		4422	PKC #422
694	8	haal	BURN / SET FIRE		4702	PKC #702
694	8	ʔal-I, ʔalʔ-II	FLAME / BLAZE		4485	PKC #485
695	5	lak	HAND / ARM		6687	JS-HCST: 119
695	45	lakᴸ	HAND			
695	42	lakᴸ	HAND			
695	12	glək	HAND			
696	8	yak	ARMPIT		5185	PKC #1185
696	23	ᴬʰjaː	HAND			
710	8	ɗoŋ ⪤ toŋ	CUBIT		4071	PKC #71
712	8	kut ⪤ khut	HAND		4287	PKC #287
712	66	kʰut	HAND / ARM		7162	DRM#
712	8	kut-tum ⪤ khut-tum	FIST			
713	29	khur	HAND / WING		6084	from BM-PK7
720	66	caaŋ	WING		7099	DRM#717
735	63	a-tʃha	WING		7571	PCN #024
737	8	khlaa	WING		5309	PKC #1309
742	63	khat	HAND, ARM	a	7733	PCN #186
744	12	tsat	BITE INTO			
744	42	C-tsatᴸ	BITE			
745	8	ɓaan	ARM		4001	PKC #1
745	66	paan	HAND / ARM		6875	DRM#465
754	45	pum¹	SHOULDER		569	
755	63	m-kak	BITE		7788	PCN #241
757	5	lap	WING		6693	JS-HCST: 120
769	29	muk	ARM / HAND LENGTH / CUBIT			
772	23	ᴬtʰiŋ	PALM (HAND)			
776	5	lak-pro	PALM (of hand)		6690	JS-HCST: 125
776	63	m-ph(w)a	FOOT (PART)		7549	PCN #002
783	63	kəp	SKIN / COVER (n.)		7702	PCN #155
784	8	phoo	RIND / SHIELD / SKIN (n.)		4353	PKC #353
786	50	hlaᴮ	LEAF		7362	TL#158
803	8	hnaar	NOSE		4899	PKC #899
803	66	na	NOSE		6757	DRM#344
803	63	na(ʔ)	NOSE		7553	PCN #006
803	23	ᴬʰna	NOSE			
805	8	hnap	SNOT / MUCUS (nasal)		4906	PKC #906
805	5	nap ~ nop	SNOT		6492	JS-HCST: 115
805	66	nap	SNOT		6931	DRM#526
805	42	ʔ-napᴸ	SNOT			
805	45	s-napᴸ	MUCUS			
811	8	naa ⪤ hnaa	EAR		4812	PKC #812
811	66	na	EAR	a	6753	DRM#340
811	66	na	HEAR	b	6755	DRM#342
811	50	-hnaᴮ	LISTEN TO		7375	TL#171
811	12	na	EAR			
811	45	(C)-na²	EAR			
811	63	hnaʔ	EAR	a	7554	PCN #007
811	63	a-hŋaj	HEAR, LISTEN	b	7593	PCN #046
811	50	naᴮ	EAR		7300	TL#95
812	45	ʔbaŋ¹	EAR			
814	5	rəŋ	HORN		6585	JS-HCST: 193
819	42	krəw¹	HORN			
819	45	kro¹	HORN			
820	12	koːŋ	EMPTY			
820	23	ᴮkʰuŋ	HOLE / PIT			
820	29	goŋ	HEART			
820	42	guŋ² ⪤ kuŋ²	HOLLOW / HOLE / EMPTY			
820	45	koŋ¹	INSIDE HOUSE			
821	63	a-phak	MAT	b	7780	PCN #233
821	63	a-pjak	FLAT	a	7779	PCN #232
1001	40	r-ków	DRY			
