lgid	name	abbr	grpid	source	iso	lgcode	sort	srcofdata	picode	pinotes	pi_page	notes
218	Ahi	Ahi	47	STC	yix	32	AHI	YC-FAPL				
219	Ahi	Ahi	47	YC-FAPL	yix	32	AHI	YC-FAPL	Ahi1		6	
220	Ahi	Ahi	47	JAM-TJLB	yix	222	AHI					
221	Khumi (Ahraing)	Ahraing Khumi	69	GHL-PPB	cnk	134	KHUMI A					Luce spells as K'umi
222	Aimol	Aimol	72	RJL-DPTB	aim	33	AIMOL					
223	Aimol	Aimol	72	STC	aim	33	AIMOL					
224	Aka [Hruso]	Aka	4	IMS-Miji	hru	34	AKA					no IMS-Aka?  Aka Lg Guide (Shillong NEFA) (Huffman 412)
225	Aka [Hruso]	Aka	4	SHA1947	hru	34	AKA	SHA1947				JS-HCST:13 says Hruso is not Tani
226	Akha	Akha	48	AW-TBT	ahk	35	AKHA					
227	Akha	Akha	48	DB-PLolo	ahk	35	AKHA	PL-AED, Nishida				
228	Akha	Akha	48	ILH-PL	ahk	35	AKHA	ILH-PL	Akha1		11	
229	Akha	Ak	48	JAM-Ety	ahk	35	AKHA	PL-AED	Akha2		12	
230	Akha	Ak	48	JAM-GSTC	ahk	35	AKHA	PL-AED	Akha2		12	
231	Akha	Ak	48	JAM-MLBM	ahk	35	AKHA	PL-AED				
232	Akha	Ak	48	JAM-TIL	ahk	35	AKHA	PL-AED				
233	Akha	Ak	48	JAM-TJLB	ahk	35	AKHA	PL-AED				
234	Akha	Ak	48	JAM-TSR	ahk	35	AKHA	PL-AED	Akha2		12	
235	Akha	Ak (Burling)	48	JAM-TSR	ahk	35	AKHA	?				<RB-GG??
236	Akha	Akha	48	JAM-VSTB	ahk	35	AKHA	PL-AED				
237	Akha	Akha	48	NT-Bisu	ahk	35	AKHA					Is this right srcabbr? (1965-66):A prelim.report on the A. lg,Ó Studia Ph.Via Prof. Nabu?
238	Akha	Akha	48	PC	ahk	35	AKHA					
239	Akha	Akha	48	PL-AETD	ahk	35	AKHA	PL-AED	Akha2		12	
240	Akha	Akha	48	RB-PLB	ahk	35	AKHA					<PL-AED?
241	Akha	Akha	48	RJL-DPTB	ahk	35	AKHA	PL-AED				
242	Akha	Akha	48	WSC-SH	ahk	35	AKHA					
243	Akha (Thai)	Ak1	48	ILH-PL	ahk	35	AKHA	ILH-PL	Akha1		11	
244	Akha (Yunnan)	Ak2	48	ILH-PL	ahk	35	AKHA	ILH-PL	Akha1		11	
245	Anal	Anal	8	AW-TBT	anm	36	ANAL					
246	Anal	Anal	8	JAM-Ety	anm	36	ANAL	OT-KnsI				
247	Anal	Anal	8	JAM-VSTB	anm	36	ANAL					
248	Anal	Anal	8	OT-KnsI	anm	36	ANAL	OT-KnsI				
249	Anal	Anal	8	STC	anm	36	ANAL					
250	Andro	A	40	GHL-PPB	kdv	37	ANDRO	***				
251	Andro	Andro	40	STC	kdv	37	ANDRO	***				
252	Angami (Khonoma)	Angami (Khon)	65	GEM-CNL	njm	38	ANGAMI KHO	MCC1887	Anga1		14	
253	Angami (Khonoma)	Angami (Khon)	65	BLBC-Khonom	njm	38	ANGAMI KHO	BLBC-Khonom	Anga2		15	
254	Angami (Kohima)	Angami (Koh)	65	GEM-CNL	njm	38	ANGAMI KOH	GEM-CNL	Anga3		18	<various srcs, see Appendix II p. 331
255	Angami (Kohima)	Angami (Kohima)	65	RAV1974	njm	38	ANGAMI KOH	RAV1974	Anga4		16	
256	Angami (Kohima)	Angami (Kohima)	65	VN-AngQ	njm	38	ANGAMI KOH					
257	Angami Naga	Ang	65	AW-TBT	njm	38	ANGAMI	***				appears to be Kohima dialect
258	Angami Naga	Angami	65	JAM-Ety	njm	38	ANGAMI	***				
259	Angami Naga	Angami Naga	65	JAM-GSTC	njm	38	ANGAMI	***				
260	Angami Naga	Ang Nag	65	JAM-MLBM	njm	38	ANGAMI	***				
261	Angami Naga	Angami Naga	65	JAM-VSTB	njm	38	ANGAMI	***				
262	Angami Naga	Angami Naga	65	PC	njm	38	ANGAMI	***				
263	Angami Naga	Angami Naga	65	RJL-DPTB	njm	38	ANGAMI	***				
264	Angami Naga	Angami Naga	65	STC	njm	38	ANGAMI	MCC1887				
265	Angami (Kohima)	Angami Naga	65	MCC1887	njm	38	ANGAMI KOH	MCC1887	Anga1		14	
266	Anong	Anong (Nungish)	38	RJL-DPTB	nun	220	NUNG					
267	Anong	Anong	38	SHK-Anong	nun	220	NUNG					= ZMYYC
268	Anong	Anong	38	WSC-SH	nun	220	NUNG					
269	Anong	Anong44	38	ZMYYC	nun	220	NUNG	ZMYYC	Nung1		306	
270	Ao (Chungli)	Ao (Chung)	63	GEM-CNL	njo	41	AO CHONGLI	GEM-Ao, EWC-Ao	AoC1		22	<Mills 1926? see pp. 347-348
271	Ao (Chungli)	Ao (Chungli)	63	GOW1972	njo	41	AO CHONGLI	GOW1972	AoC2		20	
272	Ao (Chungli)	Ao Chongli	63	WTF-PNN	njo	41	AO CHONGLI					
273	Ao (Mongsen: Longchang)	Ao (Mong)	63	GEM-CNL	njo	42	AO MONGSEN L	JPM-Mong	AoM1		23	<Mills 1926? see pp. 347-348; Longchang village variety
274	Ao (Mongsen: Longchang)	Ao Mongsen	63	WTF-PNN	njo	42	AO MONGSEN L	GEM-CNL				
275	Ao (Chungli)	Ao	63	AW-TBT	njo	41	AO CHONGLI					This looks like Chungli Ao
276	Ao (Chungli)	Ao Naga	63	CLA1911	njo	41	AO CHONGLI	CLA1911?				
277	Ao (Chungli)	Ao Naga	63	JAM-VSTB	njo	41	AO CHONGLI	STC??				
278	Ao (Chungli)	Ao Naga	63	RJL-DPTB	njo	41	AO CHONGLI	STC				
