semkey	title	semcat	old_chapter	old_subchapter
8.3.1.2.1	Accept	Vpsi	5d	1.2.1
8.3.1.3	Commend	Vpsi	5d	1.3
8.3.1.3.1	Blame	Vpsi	5d	1.3.2
8.3.1.4	?			
8.3.1.4.1	Agree	Vpsi	5d	1.4.1
8.3.1.5	?			
8.3.1.5.1	Happy	Vpsi	5d	1.5.1
8.3.1.5.1.1	Grief	Vpsi	5d	1.5.2.2
8.3.1.5.2	Sad	Vpsi	5d	1.5.2
8.3.1.5.3	Emotional	Vpsi	5d	1.5.3
8.3.1.5.4	Enthusiastic	Vpsi	5d	1.5.4
8.3.1.5.5	Excited	Vpsi	5d	1.5.6
8.3.1.5.6	Frustrated	Vpsi	5d	1.5.7
8.3.1.6	?			
8.3.1.6.1	Angry	Vpsi	5d	1.6.1
8.3.1.6.2	Distress	Vpsi	5d	1.6.2
8.3.1.7	Procrastinate?	Vpsi	5d	1.7
8.3.1.7.1	Positive	Vpsi	5d	1.7.1
8.3.1.7.2	Negative (e.g. dread)	Vpsi	5d	1.7.2
8.3.1.7.3	Neutral or ambiguous	Vpsi	5d	1.7.3
8.3.1.7.4	Relieved	Vpsi	5d	1.7.5
8.3.1.8	?			
8.3.1.8.1	Willing	Vpsi	5d	1.8.3
8.3.1.9	?			
8.3.1.9.1	Surprised	Vpsi	5d	1.9.1
8.3.1.9.2	Worry	Vpsi	5d	1.9.2
8.3.1.10	?			
8.3.1.10.1	Fear	Vpsi	5d	1.10.2
8.3.1.10.2	?			
8.3.1.10.2.1	Positive	Vpsi	5d	1.10.4.
8.3.1.10.3	Hesitate	Vpsi	5d	1.10.5
8.3.1.11	?			
8.3.1.11.1	Alert	Vpsi	5d	1.11.1
8.3.1.11.2	Tired	Vpsi	5d	1.11.10
8.3.1.11.3	Thrilled, Dizzy	Vpsi	5d	1.11.11
8.3.1.12	?			
8.3.1.12.1	Know, Believe	Vpsi	5d	1.12.1
8.3.1.13	Think/plan	Vpsi	5d	1.13
8.3.1.13.1	Think	Vpsi	5d	1.13.1
8.3.1.13.2	Plan	Vpsi	5d	1.13.2
8.3.1.13.3	Imagination	Vpsi	5d	1.13.8
8.3.1.14	?			
8.3.1.14.1	Longing	Vpsi	5d	1.14.1
8.3.1.14.2	Avarice	Vpsi	5d	1.14.2
8.3.1.14.3	Desirable	Vpsi	5d	1.14.3
8.3.1.15	Awe	Vpsi	5d	1.15
8.3.1.16	?			
8.3.1.16.1	Forget	Vpsi	5d	1.16.1
8.3.2	Verbs of Affection			
8.3.2.1	?			
8.3.2.1.1	Friendly	Vpsi	5d	2.1.1
8.3.2.2	?			
8.3.2.2.1	Appease	Vpsi	5d	2.2.1
8.3.2.3	?			
8.3.2.3.1	Comfort	Vpsi	5d	2.3.1
8.3.2.3.2	Pity	Vpsi	5d	2.3.2
8.3.2.3.3	Encourage	Vpsi	5d	2.3.3
8.3.2.4	Conspire	Vpsi	5d	2.4
8.3.2.5	?			
8.3.2.5.1	Defer	Vpsi	5d	2.5.1
8.3.2.5.2	Honor	Vpsi	5d	2.5.2
